Point 0: True class: 0, Predicted class: 0. Correct.
Point 558: True class: 1, Predicted class: 1. Correct.
Point 559: True class: 7, Predicted class: 7. Correct.
Point 560: True class: 7, Predicted class: 7. Correct.
Point 561: True class: 3, Predicted class: 3. Correct.
Point 562: True class: 5, Predicted class: 5. Correct.
Point 563: True class: 1, Predicted class: 6. Incorrect.
Point 564: True class: 0, Predicted class: 0. Correct.
Point 565: True class: 0, Predicted class: 0. Correct.
Point 566: True class: 2, Predicted class: 2. Correct.
Point 567: True class: 2, Predicted class: 2. Correct.
Point 568: True class: 7, Predicted class: 7. Correct.
Point 569: True class: 8, Predicted class: 8. Correct.
Point 570: True class: 2, Predicted class: 2. Correct.
Point 571: True class: 0, Predicted class: 0. Correct.
Point 572: True class: 1, Predicted class: 1. Correct.
Point 573: True class: 2, Predicted class: 2. Correct.
Point 574: True class: 6, Predicted class: 6. Correct.
Point 575: True class: 3, Predicted class: 3. Correct.
Point 576: True class: 3, Predicted class: 3. Correct.
Point 577: True class: 7, Predicted class: 7. Correct.
Point 578: True class: 3, Predicted class: 3. Correct.
Point 579: True class: 3, Predicted class: 3. Correct.
Point 580: True class: 4, Predicted class: 4. Correct.
Point 581: True class: 6, Predicted class: 6. Correct.
Point 582: True class: 6, Predicted class: 6. Correct.
Point 583: True class: 6, Predicted class: 6. Correct.
Point 584: True class: 4, Predicted class: 4. Correct.
Point 585: True class: 9, Predicted class: 9. Correct.
Point 586: True class: 1, Predicted class: 1. Correct.
Point 587: True class: 5, Predicted class: 5. Correct.
Point 588: True class: 0, Predicted class: 0. Correct.
Point 589: True class: 9, Predicted class: 9. Correct.
Point 590: True class: 5, Predicted class: 5. Correct.
Point 591: True class: 2, Predicted class: 2. Correct.
Point 592: True class: 8, Predicted class: 8. Correct.
Point 593: True class: 2, Predicted class: 2. Correct.
Point 594: True class: 0, Predicted class: 0. Correct.
Point 595: True class: 0, Predicted class: 0. Correct.
Point 596: True class: 1, Predicted class: 1. Correct.
Point 597: True class: 7, Predicted class: 7. Correct.
Point 598: True class: 6, Predicted class: 6. Correct.
Point 599: True class: 3, Predicted class: 3. Correct.
Point 600: True class: 2, Predicted class: 2. Correct.
Point 601: True class: 1, Predicted class: 1. Correct.
Point 602: True class: 7, Predicted class: 7. Correct.
Point 603: True class: 4, Predicted class: 4. Correct.
Point 604: True class: 6, Predicted class: 6. Correct.
Point 605: True class: 3, Predicted class: 3. Correct.
Point 606: True class: 1, Predicted class: 1. Correct.
Point 607: True class: 3, Predicted class: 3. Correct.
Point 608: True class: 9, Predicted class: 9. Correct.
Point 609: True class: 1, Predicted class: 1. Correct.
Point 610: True class: 7, Predicted class: 7. Correct.
Point 611: True class: 6, Predicted class: 6. Correct.
Point 612: True class: 8, Predicted class: 8. Correct.
Point 613: True class: 4, Predicted class: 4. Correct.
Point 614: True class: 3, Predicted class: 3. Correct.
Point 615: True class: 1, Predicted class: 1. Correct.
Point 616: True class: 4, Predicted class: 4. Correct.
Point 617: True class: 0, Predicted class: 0. Correct.
Point 618: True class: 5, Predicted class: 5. Correct.
Point 619: True class: 3, Predicted class: 3. Correct.
Point 620: True class: 6, Predicted class: 6. Correct.
Point 621: True class: 9, Predicted class: 9. Correct.
Point 622: True class: 6, Predicted class: 6. Correct.
Point 623: True class: 1, Predicted class: 1. Correct.
Point 624: True class: 7, Predicted class: 7. Correct.
Point 625: True class: 5, Predicted class: 5. Correct.
Point 626: True class: 4, Predicted class: 4. Correct.
Point 627: True class: 4, Predicted class: 4. Correct.
Point 628: True class: 7, Predicted class: 7. Correct.
Point 629: True class: 2, Predicted class: 2. Correct.
Point 630: True class: 8, Predicted class: 8. Correct.
Point 631: True class: 2, Predicted class: 2. Correct.
Point 632: True class: 2, Predicted class: 2. Correct.
Point 633: True class: 5, Predicted class: 5. Correct.
Point 634: True class: 7, Predicted class: 7. Correct.
Point 635: True class: 9, Predicted class: 9. Correct.
Point 636: True class: 5, Predicted class: 5. Correct.
Point 637: True class: 4, Predicted class: 4. Correct.
Point 638: True class: 8, Predicted class: 8. Correct.
Point 639: True class: 8, Predicted class: 8. Correct.
Point 640: True class: 4, Predicted class: 4. Correct.
Point 641: True class: 9, Predicted class: 9. Correct.
Point 642: True class: 0, Predicted class: 0. Correct.
Point 643: True class: 8, Predicted class: 8. Correct.
Point 644: True class: 9, Predicted class: 9. Correct.
Point 645: True class: 8, Predicted class: 8. Correct.
Point 646: True class: 0, Predicted class: 0. Correct.
Point 647: True class: 1, Predicted class: 1. Correct.
Point 648: True class: 2, Predicted class: 2. Correct.
Point 649: True class: 3, Predicted class: 3. Correct.
Point 650: True class: 4, Predicted class: 4. Correct.
Point 651: True class: 5, Predicted class: 5. Correct.
Point 652: True class: 6, Predicted class: 6. Correct.
Point 653: True class: 7, Predicted class: 7. Correct.
Point 654: True class: 8, Predicted class: 8. Correct.
Point 655: True class: 9, Predicted class: 9. Correct.
Point 656: True class: 0, Predicted class: 0. Correct.
Point 657: True class: 1, Predicted class: 1. Correct.
Point 658: True class: 2, Predicted class: 2. Correct.
Point 659: True class: 3, Predicted class: 3. Correct.
Point 660: True class: 4, Predicted class: 4. Correct.
Point 661: True class: 5, Predicted class: 5. Correct.
Point 662: True class: 6, Predicted class: 6. Correct.
Point 663: True class: 7, Predicted class: 7. Correct.
Point 664: True class: 8, Predicted class: 8. Correct.
Point 665: True class: 9, Predicted class: 9. Correct.
Point 666: True class: 0, Predicted class: 0. Correct.
Point 667: True class: 1, Predicted class: 1. Correct.
Point 668: True class: 2, Predicted class: 2. Correct.
Point 669: True class: 3, Predicted class: 3. Correct.
Point 670: True class: 4, Predicted class: 4. Correct.
Point 671: True class: 5, Predicted class: 5. Correct.
Point 672: True class: 6, Predicted class: 6. Correct.
Point 673: True class: 7, Predicted class: 7. Correct.
Point 674: True class: 8, Predicted class: 8. Correct.
Point 675: True class: 9, Predicted class: 9. Correct.
Point 676: True class: 0, Predicted class: 0. Correct.
Point 677: True class: 9, Predicted class: 9. Correct.
Point 678: True class: 5, Predicted class: 4. Incorrect.
Point 679: True class: 5, Predicted class: 5. Correct.
Point 680: True class: 6, Predicted class: 6. Correct.
Point 681: True class: 5, Predicted class: 5. Correct.
Point 682: True class: 0, Predicted class: 0. Correct.
Point 683: True class: 9, Predicted class: 9. Correct.
Point 684: True class: 8, Predicted class: 8. Correct.
Point 685: True class: 9, Predicted class: 9. Correct.
Point 686: True class: 8, Predicted class: 8. Correct.
Point 687: True class: 4, Predicted class: 4. Correct.
Point 688: True class: 1, Predicted class: 1. Correct.
Point 689: True class: 7, Predicted class: 7. Correct.
Point 690: True class: 7, Predicted class: 7. Correct.
Point 691: True class: 3, Predicted class: 3. Correct.
Point 692: True class: 5, Predicted class: 5. Correct.
Point 693: True class: 1, Predicted class: 1. Correct.
Point 694: True class: 0, Predicted class: 0. Correct.
Point 695: True class: 0, Predicted class: 0. Correct.
Point 696: True class: 2, Predicted class: 2. Correct.
Point 697: True class: 2, Predicted class: 2. Correct.
Point 698: True class: 7, Predicted class: 7. Correct.
Point 699: True class: 8, Predicted class: 8. Correct.
Point 700: True class: 2, Predicted class: 2. Correct.
Point 701: True class: 0, Predicted class: 0. Correct.
Point 702: True class: 1, Predicted class: 1. Correct.
Point 703: True class: 2, Predicted class: 2. Correct.
Point 704: True class: 6, Predicted class: 6. Correct.
Point 705: True class: 3, Predicted class: 3. Correct.
Point 706: True class: 3, Predicted class: 3. Correct.
Point 707: True class: 7, Predicted class: 7. Correct.
Point 708: True class: 3, Predicted class: 3. Correct.
Point 709: True class: 3, Predicted class: 3. Correct.
Point 710: True class: 4, Predicted class: 4. Correct.
Point 711: True class: 6, Predicted class: 6. Correct.
Point 712: True class: 6, Predicted class: 6. Correct.
Point 713: True class: 6, Predicted class: 6. Correct.
Point 714: True class: 4, Predicted class: 4. Correct.
Point 715: True class: 9, Predicted class: 9. Correct.
Point 716: True class: 1, Predicted class: 1. Correct.
Point 717: True class: 5, Predicted class: 5. Correct.
Point 718: True class: 0, Predicted class: 0. Correct.
Point 719: True class: 9, Predicted class: 4. Incorrect.
Point 720: True class: 5, Predicted class: 5. Correct.
Point 721: True class: 2, Predicted class: 2. Correct.
Point 722: True class: 8, Predicted class: 8. Correct.
Point 723: True class: 2, Predicted class: 2. Correct.
Point 724: True class: 0, Predicted class: 0. Correct.
Point 725: True class: 0, Predicted class: 0. Correct.
Point 726: True class: 1, Predicted class: 1. Correct.
Point 727: True class: 7, Predicted class: 7. Correct.
Point 728: True class: 6, Predicted class: 6. Correct.
Point 729: True class: 3, Predicted class: 3. Correct.
Point 730: True class: 2, Predicted class: 2. Correct.
Point 731: True class: 1, Predicted class: 1. Correct.
Point 732: True class: 7, Predicted class: 7. Correct.
Point 733: True class: 4, Predicted class: 4. Correct.
Point 734: True class: 6, Predicted class: 6. Correct.
Point 735: True class: 3, Predicted class: 3. Correct.
Point 736: True class: 1, Predicted class: 1. Correct.
Point 737: True class: 3, Predicted class: 3. Correct.
Point 738: True class: 9, Predicted class: 9. Correct.
Point 739: True class: 1, Predicted class: 1. Correct.
Point 740: True class: 7, Predicted class: 7. Correct.
Point 741: True class: 6, Predicted class: 6. Correct.
Point 742: True class: 8, Predicted class: 8. Correct.
Point 743: True class: 4, Predicted class: 4. Correct.
Point 744: True class: 3, Predicted class: 3. Correct.
Point 745: True class: 1, Predicted class: 1. Correct.
Point 746: True class: 4, Predicted class: 4. Correct.
Point 747: True class: 0, Predicted class: 0. Correct.
Point 748: True class: 5, Predicted class: 5. Correct.
Point 749: True class: 3, Predicted class: 3. Correct.
Point 750: True class: 6, Predicted class: 6. Correct.
Point 751: True class: 9, Predicted class: 9. Correct.
Point 752: True class: 6, Predicted class: 6. Correct.
Point 753: True class: 1, Predicted class: 1. Correct.
Point 754: True class: 7, Predicted class: 7. Correct.
Point 755: True class: 5, Predicted class: 5. Correct.
Point 756: True class: 4, Predicted class: 4. Correct.
Point 757: True class: 4, Predicted class: 4. Correct.
Point 758: True class: 7, Predicted class: 7. Correct.
Point 759: True class: 2, Predicted class: 2. Correct.
Point 760: True class: 8, Predicted class: 8. Correct.
Point 761: True class: 2, Predicted class: 2. Correct.
Point 762: True class: 2, Predicted class: 2. Correct.
Point 763: True class: 5, Predicted class: 5. Correct.
Point 764: True class: 7, Predicted class: 7. Correct.
Point 765: True class: 9, Predicted class: 9. Correct.
Point 766: True class: 5, Predicted class: 5. Correct.
Point 767: True class: 4, Predicted class: 4. Correct.
Point 768: True class: 8, Predicted class: 8. Correct.
Point 769: True class: 8, Predicted class: 8. Correct.
Point 770: True class: 4, Predicted class: 4. Correct.
Point 771: True class: 9, Predicted class: 9. Correct.
Point 772: True class: 0, Predicted class: 0. Correct.
Point 773: True class: 8, Predicted class: 8. Correct.
Point 774: True class: 9, Predicted class: 9. Correct.
Point 775: True class: 8, Predicted class: 8. Correct.
Point 776: True class: 0, Predicted class: 0. Correct.
Point 777: True class: 1, Predicted class: 1. Correct.
Point 778: True class: 2, Predicted class: 2. Correct.
Point 779: True class: 3, Predicted class: 3. Correct.
Point 780: True class: 4, Predicted class: 4. Correct.
Point 781: True class: 5, Predicted class: 5. Correct.
Point 782: True class: 6, Predicted class: 6. Correct.
Point 783: True class: 7, Predicted class: 7. Correct.
Point 784: True class: 8, Predicted class: 8. Correct.
Point 785: True class: 9, Predicted class: 9. Correct.
Point 786: True class: 0, Predicted class: 0. Correct.
Point 787: True class: 1, Predicted class: 1. Correct.
Point 788: True class: 2, Predicted class: 2. Correct.
Point 789: True class: 3, Predicted class: 3. Correct.
Point 790: True class: 4, Predicted class: 4. Correct.
Point 791: True class: 5, Predicted class: 5. Correct.
Point 792: True class: 6, Predicted class: 6. Correct.
Point 793: True class: 7, Predicted class: 7. Correct.
Point 794: True class: 8, Predicted class: 1. Incorrect.
Point 795: True class: 9, Predicted class: 9. Correct.
Point 796: True class: 0, Predicted class: 0. Correct.
Point 797: True class: 1, Predicted class: 1. Correct.
Point 798: True class: 2, Predicted class: 2. Correct.
Point 799: True class: 3, Predicted class: 3. Correct.
Point 800: True class: 4, Predicted class: 4. Correct.
Point 801: True class: 5, Predicted class: 5. Correct.
Point 802: True class: 6, Predicted class: 6. Correct.
Point 803: True class: 7, Predicted class: 7. Correct.
Point 804: True class: 8, Predicted class: 8. Correct.
Point 805: True class: 9, Predicted class: 9. Correct.
Point 806: True class: 0, Predicted class: 0. Correct.
Point 807: True class: 9, Predicted class: 9. Correct.
Point 808: True class: 5, Predicted class: 5. Correct.
Point 809: True class: 5, Predicted class: 5. Correct.
Point 810: True class: 6, Predicted class: 6. Correct.
Point 811: True class: 5, Predicted class: 5. Correct.
Point 812: True class: 0, Predicted class: 0. Correct.
Point 813: True class: 9, Predicted class: 9. Correct.
Point 814: True class: 8, Predicted class: 8. Correct.
Point 815: True class: 9, Predicted class: 9. Correct.
Point 816: True class: 8, Predicted class: 8. Correct.
Point 817: True class: 4, Predicted class: 4. Correct.
Point 818: True class: 1, Predicted class: 1. Correct.
Point 819: True class: 7, Predicted class: 7. Correct.
Point 820: True class: 7, Predicted class: 7. Correct.
Point 821: True class: 3, Predicted class: 3. Correct.
Point 822: True class: 5, Predicted class: 5. Correct.
Point 823: True class: 1, Predicted class: 1. Correct.
Point 824: True class: 0, Predicted class: 0. Correct.
Point 825: True class: 0, Predicted class: 0. Correct.
Point 826: True class: 2, Predicted class: 2. Correct.
Point 827: True class: 2, Predicted class: 2. Correct.
Point 828: True class: 7, Predicted class: 7. Correct.
Point 829: True class: 8, Predicted class: 8. Correct.
Point 830: True class: 2, Predicted class: 2. Correct.
Point 831: True class: 0, Predicted class: 0. Correct.
Point 832: True class: 1, Predicted class: 1. Correct.
Point 833: True class: 2, Predicted class: 2. Correct.
Point 834: True class: 6, Predicted class: 6. Correct.
Point 835: True class: 3, Predicted class: 3. Correct.
Point 836: True class: 3, Predicted class: 3. Correct.
Point 837: True class: 7, Predicted class: 7. Correct.
Point 838: True class: 3, Predicted class: 3. Correct.
Point 839: True class: 3, Predicted class: 3. Correct.
Point 840: True class: 4, Predicted class: 4. Correct.
Point 841: True class: 6, Predicted class: 6. Correct.
Point 842: True class: 6, Predicted class: 6. Correct.
Point 843: True class: 6, Predicted class: 6. Correct.
Point 844: True class: 4, Predicted class: 4. Correct.
Point 845: True class: 9, Predicted class: 9. Correct.
Point 846: True class: 1, Predicted class: 1. Correct.
Point 847: True class: 5, Predicted class: 5. Correct.
Point 848: True class: 0, Predicted class: 0. Correct.
Point 849: True class: 9, Predicted class: 9. Correct.
Point 850: True class: 5, Predicted class: 5. Correct.
Point 851: True class: 2, Predicted class: 2. Correct.
Point 852: True class: 8, Predicted class: 8. Correct.
Point 853: True class: 2, Predicted class: 2. Correct.
Point 854: True class: 0, Predicted class: 0. Correct.
Point 855: True class: 0, Predicted class: 0. Correct.
Point 856: True class: 1, Predicted class: 1. Correct.
Point 857: True class: 7, Predicted class: 7. Correct.
Point 858: True class: 6, Predicted class: 6. Correct.
Point 859: True class: 3, Predicted class: 3. Correct.
Point 860: True class: 2, Predicted class: 2. Correct.
Point 861: True class: 1, Predicted class: 1. Correct.
Point 862: True class: 7, Predicted class: 7. Correct.
Point 863: True class: 4, Predicted class: 4. Correct.
Point 864: True class: 6, Predicted class: 6. Correct.
Point 865: True class: 3, Predicted class: 3. Correct.
Point 866: True class: 1, Predicted class: 1. Correct.
Point 867: True class: 3, Predicted class: 3. Correct.
Point 868: True class: 9, Predicted class: 9. Correct.
Point 869: True class: 1, Predicted class: 1. Correct.
Point 870: True class: 7, Predicted class: 7. Correct.
Point 871: True class: 6, Predicted class: 6. Correct.
Point 872: True class: 8, Predicted class: 8. Correct.
Point 873: True class: 4, Predicted class: 4. Correct.
Point 874: True class: 3, Predicted class: 3. Correct.
Point 875: True class: 1, Predicted class: 1. Correct.
Point 876: True class: 4, Predicted class: 4. Correct.
Point 877: True class: 0, Predicted class: 0. Correct.
Point 878: True class: 5, Predicted class: 5. Correct.
Point 879: True class: 3, Predicted class: 3. Correct.
Point 880: True class: 6, Predicted class: 6. Correct.
Point 881: True class: 9, Predicted class: 9. Correct.
Point 882: True class: 6, Predicted class: 6. Correct.
Point 883: True class: 1, Predicted class: 1. Correct.
Point 884: True class: 7, Predicted class: 7. Correct.
Point 885: True class: 5, Predicted class: 5. Correct.
Point 886: True class: 4, Predicted class: 4. Correct.
Point 887: True class: 4, Predicted class: 4. Correct.
Point 888: True class: 7, Predicted class: 7. Correct.
Point 889: True class: 2, Predicted class: 2. Correct.
Point 890: True class: 8, Predicted class: 1. Incorrect.
Point 891: True class: 2, Predicted class: 2. Correct.
Point 892: True class: 2, Predicted class: 2. Correct.
Point 893: True class: 5, Predicted class: 5. Correct.
Point 894: True class: 7, Predicted class: 7. Correct.
Point 895: True class: 9, Predicted class: 9. Correct.
Point 896: True class: 5, Predicted class: 5. Correct.
Point 897: True class: 4, Predicted class: 4. Correct.
Point 898: True class: 8, Predicted class: 8. Correct.
Point 899: True class: 8, Predicted class: 8. Correct.
Point 900: True class: 4, Predicted class: 4. Correct.
Point 901: True class: 9, Predicted class: 9. Correct.
Point 902: True class: 0, Predicted class: 0. Correct.
Point 903: True class: 8, Predicted class: 8. Correct.
Point 904: True class: 9, Predicted class: 9. Correct.
Point 905: True class: 8, Predicted class: 1. Incorrect.
Point 906: True class: 1, Predicted class: 1. Correct.
Point 907: True class: 2, Predicted class: 2. Correct.
Point 908: True class: 3, Predicted class: 3. Correct.
Point 909: True class: 4, Predicted class: 4. Correct.
Point 910: True class: 5, Predicted class: 5. Correct.
Point 911: True class: 6, Predicted class: 6. Correct.
Point 912: True class: 7, Predicted class: 7. Correct.
Point 913: True class: 8, Predicted class: 8. Correct.
Point 914: True class: 9, Predicted class: 9. Correct.
Point 915: True class: 0, Predicted class: 0. Correct.
Point 916: True class: 1, Predicted class: 1. Correct.
Point 917: True class: 2, Predicted class: 2. Correct.
Point 918: True class: 3, Predicted class: 3. Correct.
Point 919: True class: 4, Predicted class: 4. Correct.
Point 920: True class: 5, Predicted class: 5. Correct.
Point 921: True class: 6, Predicted class: 6. Correct.
Point 922: True class: 7, Predicted class: 7. Correct.
Point 923: True class: 8, Predicted class: 8. Correct.
Point 924: True class: 9, Predicted class: 9. Correct.
Point 925: True class: 0, Predicted class: 0. Correct.
Point 926: True class: 1, Predicted class: 1. Correct.
Point 927: True class: 2, Predicted class: 2. Correct.
Point 928: True class: 3, Predicted class: 3. Correct.
Point 929: True class: 4, Predicted class: 4. Correct.
Point 930: True class: 5, Predicted class: 5. Correct.
Point 931: True class: 6, Predicted class: 6. Correct.
Point 932: True class: 7, Predicted class: 7. Correct.
Point 933: True class: 8, Predicted class: 8. Correct.
Point 934: True class: 9, Predicted class: 9. Correct.
Point 935: True class: 0, Predicted class: 0. Correct.
Point 936: True class: 9, Predicted class: 9. Correct.
Point 937: True class: 5, Predicted class: 5. Correct.
Point 938: True class: 5, Predicted class: 5. Correct.
Point 939: True class: 6, Predicted class: 6. Correct.
Point 940: True class: 5, Predicted class: 5. Correct.
Point 941: True class: 0, Predicted class: 0. Correct.
Point 942: True class: 9, Predicted class: 9. Correct.
Point 943: True class: 8, Predicted class: 8. Correct.
Point 944: True class: 9, Predicted class: 9. Correct.
Point 945: True class: 8, Predicted class: 8. Correct.
Point 946: True class: 4, Predicted class: 4. Correct.
Point 947: True class: 1, Predicted class: 1. Correct.
Point 948: True class: 7, Predicted class: 7. Correct.
Point 949: True class: 7, Predicted class: 7. Correct.
Point 950: True class: 3, Predicted class: 3. Correct.
Point 951: True class: 5, Predicted class: 5. Correct.
Point 952: True class: 1, Predicted class: 1. Correct.
Point 953: True class: 2, Predicted class: 2. Correct.
Point 954: True class: 7, Predicted class: 7. Correct.
Point 955: True class: 8, Predicted class: 8. Correct.
Point 956: True class: 2, Predicted class: 2. Correct.
Point 957: True class: 0, Predicted class: 0. Correct.
Point 958: True class: 1, Predicted class: 1. Correct.
Point 959: True class: 2, Predicted class: 2. Correct.
Point 960: True class: 6, Predicted class: 6. Correct.
Point 961: True class: 3, Predicted class: 3. Correct.
Point 962: True class: 3, Predicted class: 3. Correct.
Point 963: True class: 7, Predicted class: 7. Correct.
Point 964: True class: 3, Predicted class: 3. Correct.
Point 965: True class: 3, Predicted class: 3. Correct.
Point 966: True class: 4, Predicted class: 4. Correct.
Point 967: True class: 6, Predicted class: 6. Correct.
Point 968: True class: 6, Predicted class: 6. Correct.
Point 969: True class: 6, Predicted class: 6. Correct.
Point 970: True class: 4, Predicted class: 4. Correct.
Point 971: True class: 9, Predicted class: 9. Correct.
Point 972: True class: 1, Predicted class: 1. Correct.
Point 973: True class: 5, Predicted class: 5. Correct.
Point 974: True class: 0, Predicted class: 0. Correct.
Point 975: True class: 9, Predicted class: 9. Correct.
Point 976: True class: 5, Predicted class: 5. Correct.
Point 977: True class: 2, Predicted class: 2. Correct.
Point 978: True class: 8, Predicted class: 8. Correct.
Point 979: True class: 2, Predicted class: 2. Correct.
Point 980: True class: 0, Predicted class: 0. Correct.
Point 981: True class: 0, Predicted class: 0. Correct.
Point 982: True class: 1, Predicted class: 1. Correct.
Point 983: True class: 7, Predicted class: 7. Correct.
Point 984: True class: 6, Predicted class: 6. Correct.
Point 985: True class: 3, Predicted class: 3. Correct.
Point 986: True class: 2, Predicted class: 2. Correct.
Point 987: True class: 1, Predicted class: 1. Correct.
Point 988: True class: 4, Predicted class: 4. Correct.
Point 989: True class: 6, Predicted class: 6. Correct.
Point 990: True class: 3, Predicted class: 3. Correct.
Point 991: True class: 1, Predicted class: 1. Correct.
Point 992: True class: 3, Predicted class: 3. Correct.
Point 993: True class: 9, Predicted class: 9. Correct.
Point 994: True class: 1, Predicted class: 1. Correct.
Point 995: True class: 7, Predicted class: 7. Correct.
Point 996: True class: 6, Predicted class: 6. Correct.
Point 997: True class: 8, Predicted class: 8. Correct.
Point 998: True class: 4, Predicted class: 4. Correct.
Point 999: True class: 3, Predicted class: 3. Correct.
Point 1000: True class: 1, Predicted class: 1. Correct.
Point 1001: True class: 4, Predicted class: 4. Correct.
Point 1002: True class: 0, Predicted class: 0. Correct.
Point 1003: True class: 5, Predicted class: 5. Correct.
Point 1004: True class: 3, Predicted class: 3. Correct.
Point 1005: True class: 6, Predicted class: 6. Correct.
Point 1006: True class: 9, Predicted class: 9. Correct.
Point 1007: True class: 6, Predicted class: 6. Correct.
Point 1008: True class: 1, Predicted class: 1. Correct.
Point 1009: True class: 7, Predicted class: 7. Correct.
Point 1010: True class: 5, Predicted class: 5. Correct.
Point 1011: True class: 4, Predicted class: 4. Correct.
Point 1012: True class: 4, Predicted class: 4. Correct.
Point 1013: True class: 7, Predicted class: 7. Correct.
Point 1014: True class: 2, Predicted class: 2. Correct.
Point 1015: True class: 8, Predicted class: 8. Correct.
Point 1016: True class: 2, Predicted class: 2. Correct.
Point 1017: True class: 2, Predicted class: 2. Correct.
Point 1018: True class: 5, Predicted class: 5. Correct.
Point 1019: True class: 7, Predicted class: 7. Correct.
Point 1020: True class: 9, Predicted class: 9. Correct.
Point 1021: True class: 5, Predicted class: 5. Correct.
Point 1022: True class: 4, Predicted class: 4. Correct.
Point 1023: True class: 4, Predicted class: 4. Correct.
Point 1024: True class: 9, Predicted class: 9. Correct.
Point 1025: True class: 0, Predicted class: 0. Correct.
Point 1026: True class: 8, Predicted class: 8. Correct.
Point 1027: True class: 9, Predicted class: 9. Correct.
Point 1028: True class: 8, Predicted class: 8. Correct.
Point 1029: True class: 0, Predicted class: 0. Correct.
Point 1030: True class: 1, Predicted class: 1. Correct.
Point 1031: True class: 2, Predicted class: 2. Correct.
Point 1032: True class: 3, Predicted class: 3. Correct.
Point 1033: True class: 4, Predicted class: 4. Correct.
Point 1034: True class: 5, Predicted class: 5. Correct.
Point 1035: True class: 6, Predicted class: 6. Correct.
Point 1036: True class: 7, Predicted class: 7. Correct.
Point 1037: True class: 8, Predicted class: 8. Correct.
Point 1038: True class: 9, Predicted class: 3. Incorrect.
Point 1039: True class: 0, Predicted class: 0. Correct.
Point 1040: True class: 1, Predicted class: 1. Correct.
Point 1041: True class: 2, Predicted class: 2. Correct.
Point 1042: True class: 3, Predicted class: 3. Correct.
Point 1043: True class: 4, Predicted class: 4. Correct.
Point 1044: True class: 5, Predicted class: 5. Correct.
Point 1045: True class: 6, Predicted class: 6. Correct.
Point 1046: True class: 7, Predicted class: 7. Correct.
Point 1047: True class: 8, Predicted class: 8. Correct.
Point 1048: True class: 9, Predicted class: 9. Correct.
Point 1049: True class: 0, Predicted class: 0. Correct.
Point 1050: True class: 1, Predicted class: 1. Correct.
Point 1051: True class: 2, Predicted class: 2. Correct.
Point 1052: True class: 3, Predicted class: 3. Correct.
Point 1053: True class: 4, Predicted class: 4. Correct.
Point 1054: True class: 5, Predicted class: 5. Correct.
Point 1055: True class: 6, Predicted class: 6. Correct.
Point 1056: True class: 7, Predicted class: 7. Correct.
Point 1057: True class: 8, Predicted class: 8. Correct.
Point 1058: True class: 9, Predicted class: 9. Correct.
Point 1059: True class: 0, Predicted class: 0. Correct.
Point 1060: True class: 9, Predicted class: 9. Correct.
Point 1061: True class: 5, Predicted class: 5. Correct.
Point 1062: True class: 5, Predicted class: 5. Correct.
Point 1063: True class: 6, Predicted class: 6. Correct.
Point 1064: True class: 5, Predicted class: 5. Correct.
Point 1065: True class: 0, Predicted class: 0. Correct.
Point 1066: True class: 9, Predicted class: 9. Correct.
Point 1067: True class: 8, Predicted class: 8. Correct.
Point 1068: True class: 9, Predicted class: 9. Correct.
Point 1069: True class: 8, Predicted class: 8. Correct.
Point 1070: True class: 4, Predicted class: 4. Correct.
Point 1071: True class: 1, Predicted class: 1. Correct.
Point 1072: True class: 7, Predicted class: 7. Correct.
Point 1073: True class: 7, Predicted class: 7. Correct.
Point 1074: True class: 3, Predicted class: 3. Correct.
Point 1075: True class: 5, Predicted class: 5. Correct.
Point 1076: True class: 1, Predicted class: 1. Correct.
Point 1077: True class: 0, Predicted class: 0. Correct.
Point 1078: True class: 0, Predicted class: 0. Correct.
Point 1079: True class: 7, Predicted class: 7. Correct.
Point 1080: True class: 8, Predicted class: 8. Correct.
Point 1081: True class: 2, Predicted class: 2. Correct.
Point 1082: True class: 0, Predicted class: 0. Correct.
Point 1083: True class: 1, Predicted class: 1. Correct.
Point 1084: True class: 2, Predicted class: 2. Correct.
Point 1085: True class: 6, Predicted class: 6. Correct.
Point 1086: True class: 3, Predicted class: 3. Correct.
Point 1087: True class: 3, Predicted class: 3. Correct.
Point 1088: True class: 7, Predicted class: 7. Correct.
Point 1089: True class: 3, Predicted class: 3. Correct.
Point 1090: True class: 3, Predicted class: 3. Correct.
Point 1091: True class: 4, Predicted class: 4. Correct.
Point 1092: True class: 6, Predicted class: 6. Correct.
Point 1093: True class: 6, Predicted class: 6. Correct.
Point 1094: True class: 6, Predicted class: 6. Correct.
Point 1095: True class: 4, Predicted class: 4. Correct.
Point 1096: True class: 9, Predicted class: 9. Correct.
Point 1097: True class: 1, Predicted class: 1. Correct.
Point 1098: True class: 5, Predicted class: 5. Correct.
Point 1099: True class: 0, Predicted class: 0. Correct.
Point 1100: True class: 9, Predicted class: 8. Incorrect.
Point 1101: True class: 5, Predicted class: 5. Correct.
Point 1102: True class: 2, Predicted class: 2. Correct.
Point 1103: True class: 8, Predicted class: 8. Correct.
Point 1104: True class: 2, Predicted class: 2. Correct.
Point 1105: True class: 0, Predicted class: 0. Correct.
Point 1106: True class: 0, Predicted class: 0. Correct.
Point 1107: True class: 1, Predicted class: 1. Correct.
Point 1108: True class: 7, Predicted class: 7. Correct.
Point 1109: True class: 6, Predicted class: 6. Correct.
Point 1110: True class: 3, Predicted class: 3. Correct.
